round,action,predicted_effective_fidelity,F_before,F_after,channel_available,purified
40,HALT,0.6158801317214966,0.6095113540835736,,True,False
41,HALT,0.6344724893569946,0.0,,False,False
42,HALT,0.6335070729255676,0.6430360330298661,,True,False
43,HALT,0.6441428661346436,0.0,,False,False
44,HALT,0.6358396410942078,0.0,,False,False
45,HALT,0.6312820911407471,0.6503788284722322,,True,False
46,HALT,0.649211585521698,0.6653895755059022,,True,False
47,HALT,0.6433541774749756,0.0,,False,False
48,HALT,0.6427395939826965,0.0,,False,False
49,HALT,0.638909101486206,0.6528851306286728,,True,False
50,HALT,0.6405299305915833,0.6598558863373467,,True,False
51,HALT,0.6452941298484802,0.6647043810398299,,True,False
52,HALT,0.640683650970459,0.0,,False,False
53,HALT,0.6314982175827026,0.0,,False,False
54,HALT,0.6376268863677979,0.6555795404544517,,True,False
55,HALT,0.629236102104187,0.0,,False,False
56,HALT,0.6366837024688721,0.6440995238489539,,True,False
57,HALT,0.6265202760696411,0.6347803973168722,,True,False
58,HALT,0.6338545083999634,0.6489041760077634,,True,False
59,HALT,0.6455488801002502,0.6520228992756014,,True,False
60,HALT,0.6315407752990723,0.6470910924106686,,True,False
61,HALT,0.623515248298645,0.6349408527314003,,True,False
62,HALT,0.6266132593154907,0.6411310605142787,,True,False
63,HALT,0.6375172138214111,0.0,,False,False
64,HALT,0.632541298866272,0.6646468529279558,,True,False
65,HALT,0.6428868770599365,0.6649818889218019,,True,False
66,HALT,0.646399974822998,0.6649158021877942,,True,False
67,HALT,0.6425204277038574,0.0,,False,False
68,HALT,0.6377771496772766,0.6542476215702757,,True,False
69,HALT,0.6371774673461914,0.6602035279252134,,True,False
70,HALT,0.6309407353401184,0.0,,False,False
71,HALT,0.6171545386314392,0.6365269048864935,,True,False
72,HALT,0.623526930809021,0.6368520896020823,,True,False
73,HALT,0.6195418238639832,0.635611412555482,,True,False
74,HALT,0.6223974227905273,0.6364972039269783,,True,False
75,HALT,0.6352051496505737,0.0,,False,False
76,HALT,0.6148886680603027,0.6310102832109947,,True,False
77,HALT,0.6247689723968506,0.6376210475713868,,True,False
78,HALT,0.6423385739326477,0.0,,False,False
79,HALT,0.6369760632514954,0.0,,False,False
80,HALT,0.6449121236801147,0.6580444459904221,,True,False
81,PURIFY,0.6542479991912842,0.6612271518085249,0.6919279982641866,True,True
82,PURIFY,0.6505957245826721,0.6614602142742898,0.6921936472288446,True,True
83,HALT,0.6481266021728516,0.0,,False,False
84,HALT,0.6115655303001404,0.6058069003681035,,True,False
85,HALT,0.6162516474723816,0.6146723447518294,,True,False
86,HALT,0.6265774965286255,0.0,,False,False
87,HALT,0.6273889541625977,0.6492142083227821,,True,False
88,HALT,0.6342645883560181,0.6580534742384317,,True,False
89,HALT,0.6381452083587646,0.6565596101349302,,True,False
90,HALT,0.6328927278518677,0.0,,False,False
91,HALT,0.6270452737808228,0.0,,False,False
92,HALT,0.6238089203834534,0.0,,False,False
93,HALT,0.6197723150253296,0.6373577356152843,,True,False
94,HALT,0.6244834065437317,0.6368974434149457,,True,False
95,HALT,0.6208295822143555,0.6266848050791082,,True,False
96,HALT,0.6271974444389343,0.6409551366271132,,True,False
97,HALT,0.6284517645835876,0.6424999685484026,,True,False
98,HALT,0.6259461045265198,0.6362217858439947,,True,False
99,HALT,0.639712929725647,0.6529899726000671,,True,False
100,HALT,0.6365245580673218,0.0,,False,False
101,HALT,0.6472687125205994,0.0,,False,False
102,HALT,0.646660327911377,0.668326480535091,,True,False
103,HALT,0.647240161895752,0.0,,False,False
104,HALT,0.6436338424682617,0.0,,False,False
105,HALT,0.6493505835533142,0.657340900794886,,True,False
