c_inference_J,c_qpu_J,c_failure_J,c_fidelity_purify_J,benefit_purify_J,c_latency_wait_J,c_energy_memory_wait_J,c_missed_opportunity_halt_J,p_good,c_inference_J_norm,c_qpu_J_norm,c_failure_J_norm,c_fidelity_purify_J_norm,benefit_purify_J_norm,c_latency_wait_J_norm,c_energy_memory_wait_J_norm,c_missed_opportunity_halt_J_norm
5e-05,9.999999999999999e-06,7.102417968562804e-07,1.4736058861444328e-06,2.5439901897592787e-05,1e-09,1e-08,2.5439901897592787e-05,0.5087980379518557,0.0,0.0,0.09055913469796431,0.11273077096220774,0.8872692290377923,0.0,0.0,0.8872692290377923
5e-05,9.999999999999999e-06,7.110270398099802e-07,1.4839080366763056e-06,2.526819938872824e-05,1e-09,1e-08,2.526819938872824e-05,0.5053639877745648,0.0,0.0,0.09912787471017992,0.3851084774315825,0.6148915225684192,0.0,0.0,0.6148915225684192
5e-05,9.999999999999999e-06,7.033530030693984e-07,1.487752955627753e-06,2.520411740620412e-05,1e-09,1e-08,2.520411740620412e-05,0.5040823481240824,0.0,0.0,0.015387135153826873,0.48676397181751657,0.5132360281824869,0.0,0.0,0.5132360281824869
5e-05,9.999999999999999e-06,7.105468206415379e-07,1.4834015752946793e-06,2.5276640411755347e-05,1e-09,1e-08,2.5276640411755347e-05,0.5055328082351069,0.0,0.0,0.09388761985163374,0.371718186820326,0.6282818131796767,0.0,0.0,0.6282818131796767
5e-05,9.999999999999999e-06,7.026303942871488e-07,1.4875743895753405e-06,2.5207093507077662e-05,1e-09,1e-08,2.5207093507077662e-05,0.5041418701415532,0.0,0.0,0.007501872692742482,0.4820428787157487,0.5179571212842542,0.0,0.0,0.5179571212842542
5e-05,9.999999999999999e-06,7.112329212074099e-07,1.4862342985961595e-06,2.5229428356730676e-05,1e-09,1e-08,2.5229428356730676e-05,0.5045885671346135,0.0,0.0,0.10137449680289007,0.4466123240718102,0.5533876759281909,0.0,0.0,0.5533876759281909
5e-05,9.999999999999999e-06,7.11266572848217e-07,1.4853896367724349e-06,2.5243506053792755e-05,1e-09,1e-08,2.5243506053792755e-05,0.504870121075855,0.0,0.0,0.10174171074566009,0.424280379923199,0.5757196200768029,0.0,0.0,0.5757196200768029
5e-05,9.999999999999999e-06,7.042785819373875e-07,1.4878515870040448e-06,2.5202473549932588e-05,1e-09,1e-08,2.5202473549932588e-05,0.5040494709986517,0.0,0.0,0.02548725084825194,0.48937167862370046,0.5106283213762994,0.0,0.0,0.5106283213762994
5e-05,9.999999999999999e-06,7.040257916541779e-07,1.4872635699592894e-06,2.5212273834011847e-05,1e-09,1e-08,2.5212273834011847e-05,0.5042454766802369,0.0,0.0,0.022728748904067456,0.4738251445753126,0.5261748554246916,0.0,0.0,0.5261748554246916
5e-05,9.999999999999999e-06,7.119757046356325e-07,1.4910595097242375e-06,2.514900817126271e-05,1e-09,1e-08,2.514900817126271e-05,0.5029801634252542,0.0,0.0,0.10947990934028694,0.574185682297382,0.42581431770261996,0.0,0.0,0.42581431770261996
