F_before,F_after,delta_F,success_probability,purification_gain,resource_cost_pairs,useful
0.6653536506122628,0.6966230577561491,0.03126940714388626,0.6533499156239407,0.03126940714388626,2,True
0.674873181939471,0.7073846469342625,0.03251146499479152,0.6604597517612182,0.03251146499479152,2,True
0.6779526259922508,0.7108445095550647,0.03289188356281392,0.6627941778610339,0.03289188356281392,2,True
0.6556451885155222,0.6855489067388655,0.029903718223343256,0.6462649057473718,0.029903718223343256,2,True
0.6526747472927753,0.682141453943365,0.029466706650589702,0.644130624095378,0.029466706650589702,2,True
0.6783927903773868,0.7113381783847829,0.032945388007396104,0.6631292291976207,0.032945388007396104,2,True
0.6688127797202144,0.7005448906099783,0.03173211088976391,0.6559147950728644,0.03173211088976391,2,True
0.6745885764006526,0.7070643474571233,0.032475771056470704,0.6602448526310511,0.032475771056470704,2,True
0.6629639921760528,0.6939063217314639,0.030942329555411097,0.6515904522968735,0.030942329555411097,2,True
0.664819021474597,0.6960157762454621,0.03119675477086503,0.6529553960685707,0.03119675477086503,2,True
0.6557515998332134,0.6856708098884163,0.029919210055202927,0.6463416540152994,0.029919210055202927,2,True
0.6535462487421377,0.6831420795927378,0.029595830850600024,0.6447551776656454,0.029595830850600024,2,True
0.660056765636835,0.6905931196991312,0.030536354062296156,0.6494636009284817,0.030536354062296156,2,True
0.6572734869602983,0.6874130116912458,0.030139524730947498,0.6474415050496,0.030139524730947498,2,True
0.674047242435232,0.7064548734093651,0.03240763097413313,0.6598365011705992,0.03240763097413313,2,True
0.6679438343546473,0.6995609193800588,0.031617085025411495,0.6552684877111686,0.031617085025411495,2,True
0.6861348670286429,0.719985120721925,0.033850253693282095,0.6690787753227483,0.033850253693282095,2,True
0.6727273255674594,0.7049674524574875,0.03224012689002809,0.6588430149168146,0.03224012689002809,2,True
0.6647508048409333,0.69593826767169,0.031187462830756685,0.6529050934366237,0.031187462830756685,2,True
0.6803249658236701,0.7135026215086034,0.03317765568493336,0.6646040677432378,0.03317765568493336,2,True
0.6722786254971927,0.7044613722905618,0.03218274679336908,0.6585059889349317,0.03218274679336908,2,True
0.6785542391211019,0.711519197199362,0.032964958078260054,0.6632522096610368,0.032964958078260054,2,True
0.66280980010839,0.6937308187991892,0.030921018690799218,0.6514772720582477,0.030921018690799218,2,True
0.6735517885753558,0.7058967697802546,0.032344981204898815,0.659463215649229,0.032344981204898815,2,True
0.6819969429387129,0.7153721503060083,0.03337520736729538,0.6658856521852385,0.03337520736729538,2,True
0.6958269348764098,0.7307108815846627,0.0348839467082529,0.6766770274322617,0.0348839467082529,2,True
0.6908291644969884,0.7251940684363636,0.03436490393937519,0.6727380909076556,0.03436490393937519,2,True
0.6907562592181052,0.7251133698829784,0.034357110664873125,0.6726809600354998,0.034357110664873125,2,True
0.6941815593139622,0.728897948081846,0.034716388767883855,0.6753753401196291,0.034716388767883855,2,True
0.6942504719431282,0.7289739441877041,0.03472347224457595,0.6754297616192816,0.03472347224457595,2,True
0.6865531072082629,0.72045026722176,0.033897160013497074,0.6694032137006123,0.033897160013497074,2,True
0.6776243433596014,0.7104761798723345,0.032851836512733046,0.6625445146966488,0.032851836512733046,2,True
0.6652869508182623,0.6965473104669893,0.031260359648726976,0.6533006680177151,0.031260359648726976,2,True
0.6735627987875588,0.7059091751781135,0.03234637639055471,0.6594715062371109,0.03234637639055471,2,True
0.6577033872542798,0.6879047216809354,0.030201334426655624,0.6477529350921004,0.030201334426655624,2,True
0.674611965889395,0.7070906737474351,0.03247870785804008,0.6602625080679613,0.03247870785804008,2,True
0.6862349841245251,0.7200964847572462,0.03386150063272109,0.6691564101103328,0.03386150063272109,2,True
0.7035776369994796,0.7392063371625305,0.035628700163050864,0.6828734869209169,0.035628700163050864,2,True
0.6993980190964985,0.7346342913853248,0.03523627228882631,0.6795187373936502,0.03523627228882631,2,True
0.7072789297629322,0.743236963370144,0.03595803360721184,0.6858702396490066,0.03595803360721184,2,True
0.688709523038061,0.7228452677723455,0.03413574473428449,0.671080929426029,0.03413574473428449,2,True
0.7001176596684404,0.7354230395204914,0.035305379852050955,0.6800941400403498,0.035305379852050955,2,True
0.6996686956010173,0.7349310359572405,0.03526234035622322,0.6797350540475734,0.03526234035622322,2,True
0.6940918750118172,0.7287990366134057,0.03470716160158849,0.6753045275124544,0.03470716160158849,2,True
0.6970336513508811,0.7320383960149048,0.0350047446640237,0.6776347426134229,0.0350047446640237,2,True
0.6926540572819451,0.7272119660502007,0.034557908768255596,0.6741712128250376,0.034557908768255596,2,True
0.6981968851733894,0.7333163936998722,0.03511950852648282,0.6785603981147804,0.03511950852648282,2,True
0.7106261728451535,0.7468671510945274,0.03624097824937389,0.6886013076533092,0.03624097824937389,2,True
0.7089011760814301,0.7449981146739665,0.036096938592536376,0.6871913683634839,0.036096938592536376,2,True
0.7075230222490394,0.7435021690460929,0.035979146797053496,0.6860687252336842,0.035979146797053496,2,True
