round,F_left,left_available,F_right,right_available,F_swapped,swap_success
149,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
150,0.0,0.0,0.7099457893657827,1.0,0.0,False
151,0.0,0.0,0.0,0.0,0.0,False
152,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
153,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
154,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
155,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
156,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
157,0.7099457893657827,1.0,0.0,0.0,0.0,False
158,0.0,0.0,0.0,0.0,0.0,False
159,0.0,0.0,0.7099457893657827,1.0,0.0,False
160,0.7099457893657827,1.0,0.0,0.0,0.0,False
161,0.0,0.0,0.0,0.0,0.0,False
162,0.7099457893657827,1.0,0.0,0.0,0.0,False
163,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
164,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
165,0.7099457893657827,1.0,0.0,0.0,0.0,False
166,0.0,0.0,0.7099457893657827,1.0,0.0,False
167,0.0,0.0,0.0,0.0,0.0,False
168,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
169,0.0,0.0,0.7099457893657827,1.0,0.0,False
170,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
171,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
172,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
173,0.0,0.0,0.0,0.0,0.0,False
174,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
175,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
176,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
177,0.0,0.0,0.7099457893657827,1.0,0.0,False
178,0.0,0.0,0.7099457893657827,1.0,0.0,False
179,0.0,0.0,0.0,0.0,0.0,False
180,0.0,0.0,0.7099457893657827,1.0,0.0,False
181,0.0,0.0,0.7099457893657827,1.0,0.0,False
182,0.7099457893657827,1.0,0.0,0.0,0.0,False
183,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
184,0.0,0.0,0.7099457893657827,1.0,0.0,False
185,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
186,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
187,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
188,0.0,0.0,0.7099457893657827,1.0,0.0,False
189,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
190,0.0,0.0,0.7099457893657827,1.0,0.0,False
191,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
192,0.7099457893657827,1.0,0.0,0.0,0.0,False
193,0.0,0.0,0.7099457893657827,1.0,0.0,False
194,0.7099457893657827,1.0,0.0,0.0,0.0,False
195,0.7099457893657827,1.0,0.0,0.0,0.0,False
196,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
197,0.0,0.0,0.7099457893657827,1.0,0.0,False
198,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
199,0.7099457893657827,1.0,0.0,0.0,0.0,False
200,0.0,0.0,0.7099457893657827,1.0,0.0,False
201,0.0,0.0,0.7099457893657827,1.0,0.0,False
202,0.7099457893657827,1.0,0.0,0.0,0.0,False
203,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
204,0.7099457893657827,1.0,0.0,0.0,0.0,False
205,0.7099457893657827,1.0,0.0,0.0,0.0,False
206,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
207,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
208,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
209,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
210,0.0,0.0,0.7099457893657827,1.0,0.0,False
211,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
212,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
213,0.0,0.0,0.0,0.0,0.0,False
214,0.0,0.0,0.7099457893657827,1.0,0.0,False
215,0.0,0.0,0.7099457893657827,1.0,0.0,False
216,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
217,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
218,0.0,0.0,0.7099457893657827,1.0,0.0,False
219,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
220,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
221,0.7099457893657827,1.0,0.0,0.0,0.0,False
222,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
223,0.0,0.0,0.0,0.0,0.0,False
224,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
225,0.0,0.0,0.7099457893657827,1.0,0.0,False
226,0.7099457893657827,1.0,0.0,0.0,0.0,False
227,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
228,0.7099457893657827,1.0,0.0,0.0,0.0,False
229,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
230,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
231,0.7099457893657827,1.0,0.0,0.0,0.0,False
232,0.0,0.0,0.7099457893657827,1.0,0.0,False
233,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
234,0.0,0.0,0.7099457893657827,1.0,0.0,False
235,0.0,0.0,0.7099457893657827,1.0,0.0,False
236,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
237,0.0,0.0,0.7099457893657827,1.0,0.0,False
238,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
239,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
240,0.0,0.0,0.7099457893657827,1.0,0.0,False
241,0.0,0.0,0.0,0.0,0.0,False
242,0.7099457893657827,1.0,0.0,0.0,0.0,False
243,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
244,0.7099457893657827,1.0,0.0,0.0,0.0,False
245,0.0,0.0,0.7099457893657827,1.0,0.0,False
246,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
247,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
248,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
249,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
250,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
251,0.0,0.0,0.7099457893657827,1.0,0.0,False
252,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
253,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
254,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
255,0.0,0.0,0.0,0.0,0.0,False
256,0.0,0.0,0.7099457893657827,1.0,0.0,False
257,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
258,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
