experiment_id,timestamp,git_commit,seed,config_hash,dataset_version,dataset_hash,model,controller,horizon,feature_set,physics_engine,realism_level,MAE,RMSE,R2,coverage,interval_width,fidelity,useful_pairs,QPU_operations,purification_count,false_purification,missed_opportunities,latency,memory,energy,source_experiment,notes
20260821T114609Z_e5f08a1d,2026-08-21T11:46:09.485317+00:00,NOT_A_GIT_REPOSITORY,555.0,,v3-causal,,Reactive,Reactive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,38.78,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_f5c6bb89,2026-08-21T11:46:09.487667+00:00,NOT_A_GIT_REPOSITORY,555.0,,v3-causal,,Predictive,Predictive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,37.8,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_449f45b5,2026-08-21T11:46:09.489965+00:00,NOT_A_GIT_REPOSITORY,555.0,,v3-causal,,Oracle,Oracle,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,100.0,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_731d7c8a,2026-08-21T11:46:09.492417+00:00,NOT_A_GIT_REPOSITORY,555.0,,v3-causal,,DualHead,DualHead,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,43.63,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_73359c8c,2026-08-21T11:46:09.494957+00:00,NOT_A_GIT_REPOSITORY,8080.0,,v3-causal,,Blind,Blind,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,47.99,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_1179f1cb,2026-08-21T11:46:09.497299+00:00,NOT_A_GIT_REPOSITORY,8080.0,,v3-causal,,Reactive,Reactive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,49.6,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_669560f7,2026-08-21T11:46:09.499613+00:00,NOT_A_GIT_REPOSITORY,8080.0,,v3-causal,,Predictive,Predictive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,47.93,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_291fe97f,2026-08-21T11:46:09.501971+00:00,NOT_A_GIT_REPOSITORY,8080.0,,v3-causal,,Oracle,Oracle,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,100.0,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_7be0c624,2026-08-21T11:46:09.503276+00:00,NOT_A_GIT_REPOSITORY,8080.0,,v3-causal,,DualHead,DualHead,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,52.44,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_f8a0890e,2026-08-21T11:46:09.505614+00:00,NOT_A_GIT_REPOSITORY,271828.0,,v3-causal,,Blind,Blind,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,40.7,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
